RAmdeg,DEmdeg,BTmag,VTmag,HIP
62.23671662,41.5040079,7.137,6.993,19370
64.53379995,42.14115352,6.117,6.193,20063
60.04352097,40.01372377,7.037,6.899,18688
,,2.66,2.854,18532
59.31786925,41.88062653,6.989,6.901,18499
62.05463243,43.19113611,6.54,6.554,19298
49.44064337,39.2833722,6.02,5.972,15334
53.39597852,39.89948179,5.948,5.794,16591
52.87622681,40.75993564,6.776,6.521,16425
53.07333991,40.92073176,6.69,6.711,16487
54.73828365,42.53828137,7.44,6.805,17022
54.50075717,42.58284928,6.322,6.391,16938
52.68789633,42.2024369,7.346,6.95,16357
51.28910711,41.2573014,6.532,6.51,15925
47.822421,39.61158947,6.044,4.732,14817
49.29772724,40.48294342,6.762,6.834,15282
48.73580138,42.5036318,7.457,6.181,15118
46.33753232,40.58218123,7.335,6.162,14365
48.03981596,42.37590329,6.007,6.122,14887
50.3606571,43.32965275,5.027,4.954,15648
52.07591732,44.3772377,8.707,6.727,16165
53.16239787,44.85576283,6.399,6.412,16516
53.10941328,46.05686053,5.762,5.343,16499
49.44730921,44.02502492,5.395,5.465,15338
49.63562411,44.71955312,7.082,6.969,15399
49.01857596,45.34613282,8.326,6.347,15209
52.35951842,46.93787129,6.335,6.23,16252
56.37943676,42.00692453,6.861,6.876,17549
56.298463,42.57855004,4.277,3.813,17529
57.28381939,43.96308299,6.275,5.994,17846
57.51841499,44.96785876,6.597,5.742,17932
56.49692525,45.68190115,5.546,5.641,17584
56.17045373,46.09981383,6.426,6.126,17475
61.50893785,46.92556103,6.951,6.794,19127
,,3.944,3.982,19343
63.72442609,48.4093281,5.311,4.238,19812
58.99239324,47.8714155,5.28,5.366,18396
62.19710891,50.200467,7.061,6.955,19356
61.6459775,50.35123808,4.252,4.263,19167
53.99370382,47.09103011,6.837,6.868,16782
,,2.849,2.963,17358
56.02678231,48.52366103,8.114,6.231,17437
52.88806693,47.86241947,6.729,6.758,16430
53.03583725,48.02347518,5.332,5.444,16470
54.12240631,48.19262969,4.233,4.295,16826
53.33738195,47.95008465,6.979,6.633,16570
52.64368819,47.99521392,6.131,4.492,16335
52.65397108,48.10359824,5.759,5.812,16340
51.77153596,48.20550595,6.814,6.838,16079
52.97478929,48.73514932,6.579,6.611,16450
52.87224661,49.20976645,6.362,6.281,16424
52.95432509,49.40108927,6.487,6.419,16447
54.61223161,49.20567312,6.91,6.87,16986
58.41125851,48.650496,7.065,5.862,18212
58.85356229,49.04059186,7.431,6.912,18353
59.1521725,50.69537389,5.764,5.32,18453
57.0753053,50.73676268,6.224,6.191,17772
56.79431895,51.70637948,7.286,6.934,17675
58.90450069,52.22682378,7.423,6.871,18366
58.91008177,52.64132037,7.16,6.832,18370
68.34003579,43.03192359,7.041,6.833,21238
68.35376731,43.06388931,6.543,6.125,21242
73.08963915,45.9399084,7.374,6.747,22650
71.08929417,48.17575368,8.44,6.917,22041
72.78886513,48.74067759,6.913,5.754,22545
74.26045448,49.92207146,7.417,6.99,23020
65.38819181,46.4988827,4.746,4.803,20354
66.8529393,46.8531543,7.568,6.801,20800
70.35053291,48.30088709,5.644,5.65,21823
70.8399708,49.97378877,5.87,5.857,21972
71.2294281,52.33967897,7.006,6.884,22075
74.02947633,52.86975662,5.864,5.759,22936
74.94303669,53.15545296,8.006,6.255,23216
73.2907517,52.84116095,6.477,6.402,22720
74.321668,53.75210262,4.416,4.43,23040
77.26828486,49.12189481,6.884,6.656,23964
85.33473671,53.48105742,7.271,6.294,26779
89.94978667,54.54700416,7.685,6.264,28390
86.90471329,54.49466115,7.74,6.673,27355
89.94094155,55.32085433,6.782,6.448,28385
85.99411901,54.8648242,6.876,6.928,27027
84.14674734,54.4286546,7.906,5.92,26344
,,5.021,4.966,27949
76.669294,51.59771918,5.356,5.014,23783
78.68447111,53.21395383,6.257,6.162,24451
80.32224589,54.25254465,8.125,6.771,25008
80.93046456,56.08889704,8.289,6.987,25226
85.7569826,56.58151859,7.267,6.152,26942
86.62663225,56.11557513,6.113,5.947,27249
86.72752175,56.92392651,6.963,6.813,27283
87.64113834,56.91893839,6.669,6.542,27592
83.14083336,57.22106873,7.145,6.518,25973
88.07189717,58.96408812,6.09,6.126,27731
86.7929359,58.78552749,8.278,6.713,27314
88.74095045,59.88836738,5.229,5.21,27971
64.56090705,50.29549581,4.656,4.6,20070
64.80515814,50.04869045,5.733,5.483,20156
66.13664852,50.84517538,7.425,6.962,20586
65.04797296,50.92093655,5.5,5.539,20234
64.30128512,50.8658151,8.816,6.822,19986
66.05807757,51.93709274,7.064,6.864,20556
69.97783736,53.07953438,6.46,5.194,21727
,,5.808,5.451,21730
